	Term1	Term2	String1	String2	wikidata_iri_1	wikidata_iri_2	Mean	StdDev	RawScores
85	beijing	yangtze_river	Beijing	Yangtze	http://www.wikidata.org/entity/Q956	http://www.wikidata.org/entity/Q5413	68.25	36.3825	[97, 6, 81, 89]
86	united_kingdom	eton_college	United Kingdom	Eton College	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q192088	68.0	33.5082	[31, 24, 100, 99, 86]
87	toshiro_mifune	akira_kurosawa	Toshiro Mifune	Akira Kurosawa	http://www.wikidata.org/entity/Q37001	http://www.wikidata.org/entity/Q8006	67.8	20.0539	[88, 53, 73, 37, 88]
88	achilles	athens	Achilles	Athens	http://www.wikidata.org/entity/Q41746	http://www.wikidata.org/entity/Q1524	67.75	39.6003	[88, 100, 83, 0]
89	vladimir_lenin	bolsheviks	Vladimir Lenin	Bolsheviks	http://www.wikidata.org/entity/Q1394	http://www.wikidata.org/entity/Q83372	67.6	34.4418	[97, 0, 83, 79, 79]
90	nepal	sudan	Nepal	Sudan	http://www.wikidata.org/entity/Q837	http://www.wikidata.org/entity/Q1049	67.5	31.6662	[14, 92, 74, 90]
91	shahrukh_khan	fred_astaire	Shah Rukh Khan	Fred Astaire	http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q100937	67.4	33.9211	[81, 100, 4, 63, 89]
92	arjuna	india	Arjuna	India	http://www.wikidata.org/entity/Q185790	http://www.wikidata.org/entity/Q668	67.4	35.931	[88, 90, 0, 61, 98]
93	sachin_tendulkar	ken_griffey,_jr.	Sachin Tendulkar	Ken Griffey, Jr.	http://www.wikidata.org/entity/Q9488	http://www.wikidata.org/entity/Q536900	67.0	27.0832	[81, 100, 27, 60]
94	george_harrison	liverpool	George Harrison	Liverpool	http://www.wikidata.org/entity/Q2643	http://www.wikidata.org/entity/Q24826	67.0	27.1514	[77, 100, 24, 49, 85]
95	wales	cardiff_university	Wales	Cardiff University	http://www.wikidata.org/entity/Q25	http://www.wikidata.org/entity/Q1035745	66.25	38.771	[0, 78, 94, 93]
96	burkina_faso	democratic_republic_of_the_congo	Burkina Faso	Democratic Republic of the Congo	http://www.wikidata.org/entity/Q965	http://www.wikidata.org/entity/Q974	65.8	33.6951	[71, 78, 90, 0, 90]
97	a._r._rahman	john_philip_sousa	A. R. Rahman	John Philip Sousa	http://www.wikidata.org/entity/Q108560	http://www.wikidata.org/entity/Q295935	65.75	19.5752	[92, 56, 40, 75]
98	aeroflot	air_canada	Aeroflot	Air Canada	http://www.wikidata.org/entity/Q58707	http://www.wikidata.org/entity/Q185339	65.75	38.0025	[0, 88, 85, 90]
99	kyrgyzstan	turkey	Kyrgyzstan	Turkey	http://www.wikidata.org/entity/Q813	http://www.wikidata.org/entity/Q43	65.2	14.9452	[76, 40, 76, 78, 56]
100	guatemala	dominican_republic	Guatemala	Dominican Republic	http://www.wikidata.org/entity/Q774	http://www.wikidata.org/entity/Q786	65.0	33.9352	[75, 97, 0, 68, 85]
101	ukraine	lithuania	Ukraine	Lithuania	http://www.wikidata.org/entity/Q212	http://www.wikidata.org/entity/Q37	65.0	21.0357	[83, 54, 36, 87]
102	california	hawaii	California	Hawaii	http://www.wikidata.org/entity/Q99	http://www.wikidata.org/entity/Q782	64.75	20.1665	[76, 34, 88, 61]
103	lyndon_b._johnson	john_kerry	Lyndon B. Johnson	John Kerry	http://www.wikidata.org/entity/Q9640	http://www.wikidata.org/entity/Q22316	64.75	31.6652	[84, 85, 10, 80]
104	europe	manchester_united_f.c.	Europe	Manchester United F.C.	http://www.wikidata.org/entity/Q46	http://www.wikidata.org/entity/Q18656	64.75	37.8178	[79, 85, 95, 0]
105	woodrow_wilson	jimmy_carter	Woodrow Wilson	Jimmy Carter	http://www.wikidata.org/entity/Q34296	http://www.wikidata.org/entity/Q23685	64.5	31.6899	[83, 72, 11, 92]
106	adele	united_kingdom	Adele	United Kingdom	http://www.wikidata.org/entity/Q23215	http://www.wikidata.org/entity/Q145	64.5	27.1063	[74, 18, 84, 82]
107	bell_hooks	ayn_rand	bell hooks	Ayn Rand	http://www.wikidata.org/entity/Q259507	http://www.wikidata.org/entity/Q132524	64.5	37.4867	[0, 93, 83, 82]
108	the_louvre	museo_del_prado	The Louvre	Museo del Prado	http://www.wikidata.org/entity/Q19675	http://www.wikidata.org/entity/Q160112	64.25	39.4739	[0, 100, 64, 93]
109	julia_roberts	lady_gaga	Julia Roberts	Lady Gaga	http://www.wikidata.org/entity/Q40523	http://www.wikidata.org/entity/Q19848	64.0	21.0808	[76, 82, 41, 36, 85]
110	abraham_lincoln	napoleon	Abraham Lincoln	Napoleon	http://www.wikidata.org/entity/Q91	http://www.wikidata.org/entity/Q517	64.0	19.5653	[55, 100, 57, 42, 66]
111	winston_churchill	lyndon_b._johnson	Winston Churchill	Lyndon B. Johnson	http://www.wikidata.org/entity/Q8016	http://www.wikidata.org/entity/Q9640	63.4	19.0746	[58, 30, 87, 72, 70]
112	david_sedaris	buster_keaton	David Sedaris	Buster Keaton	http://www.wikidata.org/entity/Q1176577	http://www.wikidata.org/entity/Q103949	63.4	32.0412	[74, 72, 99, 3, 69]
113	social_security_administration	small_business_administration	Social Security Administration	Small Business Administration	http://www.wikidata.org/entity/Q2824618	http://www.wikidata.org/entity/Q495354	63.0	36.6674	[0, 91, 78, 83]
114	algeria	france	Algeria	France	http://www.wikidata.org/entity/Q262	http://www.wikidata.org/entity/Q142	63.0	36.9932	[0, 94, 83, 75]
115	lithuania	kosovo	Lithuania	Kosovo	http://www.wikidata.org/entity/Q37	http://www.wikidata.org/entity/Q1246	62.75	29.9781	[18, 96, 54, 83]
116	harvard_law_school	london_school_of_economics	Harvard Law School	London School of Economics	http://www.wikidata.org/entity/Q49122	http://www.wikidata.org/entity/Q174570	62.25	21.3234	[49, 37, 70, 93]
117	marilyn_monroe	brad_pitt	Marilyn Monroe	Brad Pitt	http://www.wikidata.org/entity/Q4616	http://www.wikidata.org/entity/Q35332	62.25	29.9364	[78, 100, 20, 51]
118	vladimir_putin	moscow_metro	Vladimir Putin	Moscow Metro	http://www.wikidata.org/entity/Q7747	http://www.wikidata.org/entity/Q5499	62.2	39.8768	[97, 100, 21, 7, 86]
119	iran	afghanistan	Iran	Afghanistan	http://www.wikidata.org/entity/Q794	http://www.wikidata.org/entity/Q889	62.0	25.4853	[54, 81, 89, 24]
120	michelangelo	roman_catholic_church	Michelangelo	Catholic Church	http://www.wikidata.org/entity/Q5592	http://www.wikidata.org/entity/Q9592	61.8	33.409	[28, 23, 100, 58, 100]
121	himeji_castle	japan	Himeji Castle	Japan	http://www.wikidata.org/entity/Q188754	http://www.wikidata.org/entity/Q17	61.75	36.3413	[71, 78, 1, 97]
122	cleopatra	ramesses_ii	Cleopatra	Ramesses II	http://www.wikidata.org/entity/Q635	http://www.wikidata.org/entity/Q1523	61.75	37.043	[0, 66, 89, 92]
123	richard_pryor	cary_grant	Richard Pryor	Cary Grant	http://www.wikidata.org/entity/Q294912	http://www.wikidata.org/entity/Q83410	61.6	27.99	[56, 63, 80, 13, 96]
124	new_york_city_ballet	london_symphony_orchestra	New York City Ballet	London Symphony Orchestra	http://www.wikidata.org/entity/Q1336942	http://www.wikidata.org/entity/Q155805	61.4	20.3823	[74, 41, 93, 60, 39]
125	fred_astaire	carol_channing	Fred Astaire	Carol Channing	http://www.wikidata.org/entity/Q100937	http://www.wikidata.org/entity/Q237287	61.25	19.4856	[32, 86, 59, 68]
126	puerto_rico	united_states	Puerto Rico	United States	http://www.wikidata.org/entity/Q1183	http://www.wikidata.org/entity/Q30	61.25	12.794	[67, 40, 64, 74]
127	ohio_state_university	columbus_crew	Ohio State University	Columbus Crew S.C.	http://www.wikidata.org/entity/Q309331		60.8	36.2569	[82, 13, 99, 89, 21]
128	tony_blair	john_f._kennedy	Tony Blair	John F. Kennedy	http://www.wikidata.org/entity/Q9545	http://www.wikidata.org/entity/Q9696	60.75	37.4391	[80, 0, 63, 100]
129	moscow	volga_river	Moscow	Volga River	http://www.wikidata.org/entity/Q649	http://www.wikidata.org/entity/Q626	60.5	38.2916	[87, 99, 56, 0]
130	ferdinand_vii_of_spain	spanish_armed_forces	Ferdinand VII of Spain	Spanish Armed Forces	http://www.wikidata.org/entity/Q186256	http://www.wikidata.org/entity/Q326991	60.25	33.2594	[4, 68, 88, 81]
131	shahrukh_khan	abhishek_bachchan	Shah Rukh Khan	Abhishek Bachchan	http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q187058	60.0	35.7827	[40, 100, 0, 79, 81]
132	royal_australian_air_force	russian_navy	Royal Australian Air Force	Russian Navy	http://www.wikidata.org/entity/Q823635	http://www.wikidata.org/entity/Q465283	59.8	22.3195	[63, 57, 87, 20, 72]
133	cuba	florida	Cuba	Florida	http://www.wikidata.org/entity/Q241	http://www.wikidata.org/entity/Q812	59.75	15.754	[74, 34, 60, 71]
134	cairo	tokyo	Cairo	Tokyo	http://www.wikidata.org/entity/Q85	http://www.wikidata.org/entity/Q1490	59.75	28.7522	[16, 91, 53, 79]
135	oscar_wilde	maya_angelou	Oscar Wilde	Maya Angelou	http://www.wikidata.org/entity/Q30875	http://www.wikidata.org/entity/Q19526	59.75	20.1665	[79, 32, 49, 79]
136	grand_canyon	colorado_river	Grand Canyon	Colorado River	http://www.wikidata.org/entity/Q118841	http://www.wikidata.org/entity/Q1265	59.5	22.4332	[60, 55, 30, 93]
137	italy	vatican_hill	Italy	Vatican Hill	http://www.wikidata.org/entity/Q38	http://www.wikidata.org/entity/Q1053000	59.4	35.5168	[0, 100, 43, 66, 88]
138	zhang_ziyi	beijing	Zhang Ziyi	Beijing	http://www.wikidata.org/entity/Q180852	http://www.wikidata.org/entity/Q956	59.2	30.8765	[74, 81, 0, 58, 83]
139	william_shakespeare	edgar_allan_poe	William Shakespeare	Edgar Allan Poe	http://www.wikidata.org/entity/Q692	http://www.wikidata.org/entity/Q16867	59.0	19.5038	[38, 42, 93, 63, 59]
140	king_arthur	england	King Arthur	England	http://www.wikidata.org/entity/Q45792	http://www.wikidata.org/entity/Q21	58.75	35.7587	[94, 0, 62, 79]
141	shahrukh_khan	mumbai	Shah Rukh Khan	Mumbai	http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q1156	58.75	34.4048	[82, 84, 0, 69]
142	sachin_tendulkar	india	Sachin Tendulkar	India	http://www.wikidata.org/entity/Q9488	http://www.wikidata.org/entity/Q668	58.25	37.0025	[82, 97, 54, 0]
143	seoul	samsung_electronics	Seoul	Samsung Electronics	http://www.wikidata.org/entity/Q8684	http://www.wikidata.org/entity/Q20718	57.5	33.8415	[81, 0, 66, 83]
144	james_earl_jones	angelina_jolie	James Earl Jones	Angelina Jolie	http://www.wikidata.org/entity/Q203960	http://www.wikidata.org/entity/Q13909	57.5	16.5605	[61, 30, 74, 65]
145	london	communist_party_of_great_britain	London	Communist Party of Great Britain	http://www.wikidata.org/entity/Q84	http://www.wikidata.org/entity/Q592068	57.0	32.909	[76, 76, 76, 0]
146	bbc_worldwide	condé_nast	BBC Worldwide	Condé Nast	http://www.wikidata.org/entity/Q2071905	http://www.wikidata.org/entity/Q605401	56.8	31.3777	[95, 54, 68, 67, 0]
147	harvard_university	indian_institute_of_technology_delhi	Harvard University	Indian Institute of Technology Delhi	http://www.wikidata.org/entity/Q13371	http://www.wikidata.org/entity/Q1194650	56.0	28.962	[81, 59, 66, 74, 0]
148	gene_kelly	american_ballet_theatre	Gene Kelly	American Ballet Theatre	http://www.wikidata.org/entity/Q73089	http://www.wikidata.org/entity/Q463443	56.0	33.5336	[0, 88, 63, 73]
149	white_house_press_corps	condé_nast	White House Press Corps	Condé Nast	http://www.wikidata.org/entity/Q2867521	http://www.wikidata.org/entity/Q605401	55.75	23.4774	[85, 64, 20, 54]
150	munich	danube	Munich	Danube	http://www.wikidata.org/entity/Q1726	http://www.wikidata.org/entity/Q1653	55.25	32.7824	[68, 0, 67, 86]
151	fyodor_dostoyevsky	dean_koontz	Fyodor Dostoyevsky	Dean Koontz	http://www.wikidata.org/entity/Q991	http://www.wikidata.org/entity/Q272076	54.75	31.9012	[0, 77, 66, 76]
152	leon_trotsky	oliver_cromwell	Leon Trotsky	Oliver Cromwell	http://www.wikidata.org/entity/Q33391	http://www.wikidata.org/entity/Q44279	54.4	40.2124	[53, 4, 99, 16, 100]
