Iri1	Iri2	String1	String2	Similarity
http://www.wikidata.org/entity/Q1339	http://www.wikidata.org/entity/Q4700	Johann Sebastian Bach	Claude Debussy	0.0
http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q204077	Qianlong Emperor	Cao Cao	0.0
http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q209518	Lionel Messi	Wayne Gretzky	0.0
http://www.wikidata.org/entity/Q9488	http://www.wikidata.org/entity/Q536900	Sachin Tendulkar	Ken Griffey, Jr.	0.0
http://www.wikidata.org/entity/Q108560	http://www.wikidata.org/entity/Q295935	A. R. Rahman	John Philip Sousa	0.0
http://www.wikidata.org/entity/Q40523	http://www.wikidata.org/entity/Q19848	Julia Roberts	Lady Gaga	0.0
http://www.wikidata.org/entity/Q635	http://www.wikidata.org/entity/Q1523	Cleopatra	Ramesses II	0.0
http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q187058	Shah Rukh Khan	Abhishek Bachchan	0.0
http://www.wikidata.org/entity/Q692	http://www.wikidata.org/entity/Q16867	William Shakespeare	Edgar Allan Poe	0.0
http://www.wikidata.org/entity/Q5928	http://www.wikidata.org/entity/Q295935	Jimi Hendrix	John Philip Sousa	0.0
http://www.wikidata.org/entity/Q5928	http://www.wikidata.org/entity/Q150651	Jimi Hendrix	George Carlin	0.0
http://www.wikidata.org/entity/Q40930	http://www.wikidata.org/entity/Q1253	Nefertiti	Ban Ki-Moon	0.0
http://www.wikidata.org/entity/Q36450	http://www.wikidata.org/entity/Q171411	Catherine the Great	Oda Nobunaga	0.0
http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q34417	Qianlong Emperor	Philip II of spain	0.0
http://www.wikidata.org/entity/Q134262	http://www.wikidata.org/entity/Q104372	Tennessee Williams	Doris Day	0.0
http://www.wikidata.org/entity/Q892	http://www.wikidata.org/entity/Q181900	J.R.R. Tolkien	Stan Lee	0.0
http://www.wikidata.org/entity/Q5686	http://www.wikidata.org/entity/Q37615	Charles Dickens	Luciano Pavarotti	0.0
http://www.wikidata.org/entity/Q93341	http://www.wikidata.org/entity/Q180374	Miles Davis	Frank Gehry	0.0
http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q635	Qianlong Emperor	Cleopatra	0.0
http://www.wikidata.org/entity/Q132524	http://www.wikidata.org/entity/Q855	Ayn Rand	Joseph Stalin	0.0
http://www.wikidata.org/entity/Q162492	http://www.wikidata.org/entity/Q23215	Colin Firth	Adele	0.0
http://www.wikidata.org/entity/Q5284	http://www.wikidata.org/entity/Q34660	Bill Gates	J. K. Rowling	0.0
http://www.wikidata.org/entity/Q7294	http://www.wikidata.org/entity/Q1225	Johannes Brahms	Bruce Springsteen	0.0
http://www.wikidata.org/entity/Q29545	http://www.wikidata.org/entity/Q80046	Kevin Durant	Charlize Theron	0.0
http://www.wikidata.org/entity/Q11820	http://www.wikidata.org/entity/Q44313	Martin van Buren	Stone Cold Steve Austin	0.0
http://www.wikidata.org/entity/Q131861	http://www.wikidata.org/entity/Q1339	Sergei Rachmaninoff	Johann Sebastian Bach	
http://www.wikidata.org/entity/Q255	http://www.wikidata.org/entity/Q41921	Ludwig van Beethoven	Rosa Parks	
